"status","family","pval","qval","gene_short_name","is.feature","score","dir"
"GPX1","OK","negbinomial.size",4.52922021666731e-183,5.48378768960432e-181,"GPX1",FALSE,-415.066105785486,1
"NPC2","OK","negbinomial.size",1.27422243324975e-181,1.51974797971624e-179,"NPC2",FALSE,-411.744187127641,1
"C1orf54","OK","negbinomial.size",1.14275630060426e-172,1.34290670560715e-170,"C1orf54",TRUE,-391.144629361017,1
"SH3BGRL3","OK","negbinomial.size",4.82340529268481e-172,5.58606256432527e-170,"SH3BGRL3",FALSE,389.719191141326,-1
"BASP1","OK","negbinomial.size",3.81910803429177e-170,4.35978461457508e-168,"BASP1",TRUE,-385.361872967186,1
"ANXA1","OK","negbinomial.size",1.22671919609319e-169,1.38066381633531e-167,"ANXA1",TRUE,384.209146120163,-1
"SNHG25","OK","negbinomial.size",8.34897422057749e-167,9.26620180508816e-165,"SNHG25",TRUE,377.700166778166,-1
"CD4","OK","negbinomial.size",4.62788838347237e-166,5.06595288662023e-164,"CD4",TRUE,-376.001412999404,1
"AKR1B1","OK","negbinomial.size",8.21165507391787e-166,8.8674777967132e-164,"AKR1B1",TRUE,-375.441564847256,1
"NEAT1","OK","negbinomial.size",4.22376026050078e-164,4.5002757655549e-162,"NEAT1",TRUE,371.514646388902,-1
"HLA-DRA","OK","negbinomial.size",2.94954864375184e-161,3.10129515950276e-159,"HLA-DRA",TRUE,-364.979209968426,1
"LTA4H","OK","negbinomial.size",5.2413740127575e-160,5.43945710856431e-158,"LTA4H",TRUE,362.114765433391,-1
"FUCA1","OK","negbinomial.size",9.32390170985999e-160,9.55221776455015e-158,"FUCA1",TRUE,-361.551671338873,1
"DAB2","OK","negbinomial.size",3.51713294761403e-158,3.55764675751693e-156,"DAB2",TRUE,-357.934175203949,1
"SPATS2L","OK","negbinomial.size",6.72777180537538e-148,6.72020306209433e-146,"SPATS2L",TRUE,-334.272305205479,1
"CTSC","OK","negbinomial.size",7.1907764962904e-146,7.09401172615513e-144,"CTSC",TRUE,-329.613002381825,1
"ACTG1","OK","negbinomial.size",4.4685120088157e-145,4.35461944663979e-143,"ACTG1",TRUE,327.798431074753,-1
"ARL4C","OK","negbinomial.size",1.35719582738442e-141,1.30666889838903e-139,"ARL4C",TRUE,-319.791846853089,1
"VMO1","OK","negbinomial.size",1.44753377199577e-141,1.3770526633355e-139,"VMO1",TRUE,-319.739382462179,1
"ATP1B1","OK","negbinomial.size",2.93445117796853e-141,2.75872933684077e-139,"ATP1B1",TRUE,-319.044557737656,1
"MALAT1","OK","negbinomial.size",3.49605268604571e-141,3.24848337374317e-139,"MALAT1",TRUE,318.881139692981,-1
"RND3","OK","negbinomial.size",4.61820178217298e-141,4.24184487831544e-139,"RND3",TRUE,-318.614329638752,1
"BTG1","OK","negbinomial.size",1.09636056269503e-138,9.95570142783636e-137,"BTG1",TRUE,313.156012345297,-1
"STOM","OK","negbinomial.size",6.75572725270997e-138,6.06573218836016e-136,"STOM",TRUE,-311.348917388526,1
"RPS9","OK","negbinomial.size",1.95691076963927e-135,1.73751932890972e-133,"RPS9",FALSE,305.691358945261,-1
"CD48","OK","negbinomial.size",8.43773237831592e-131,7.40944169616731e-129,"CD48",TRUE,295.030721904409,-1
"ITLN1","OK","negbinomial.size",1.32779795775429e-129,1.15330798700158e-127,"ITLN1",TRUE,-292.285672486672,1
"RGS2","OK","negbinomial.size",7.54022403895626e-129,6.4789172360537e-127,"RGS2",TRUE,290.559753407043,-1
"FRMD4A","OK","negbinomial.size",5.30894960935595e-128,4.51317194982589e-126,"FRMD4A",TRUE,-288.618721496128,1
"SDC3","OK","negbinomial.size",2.43203015018757e-127,2.0457213610683e-125,"SDC3",TRUE,-287.107386153162,1
