,V,D,J,C,Species,Source
iNKT,TRAV10,,TRAJ18,TRAC,Human,Chiba et al. Mucosal-Associated Invariant T cells in Autoimmune Diseases https://www.frontiersin.org/articles/10.3389/fimmu.2018.01333/full
iNKT,TRAV11,,TRAJ19,TRAC,Mouse,Chiba et al. Mucosal-Associated Invariant T cells in Autoimmune Diseases https://www.frontiersin.org/articles/10.3389/fimmu.2018.01333/full
MAIT,TRAV1-2,,TRAJ33,TRAC,Human,Chiba et al. Mucosal-Associated Invariant T cells in Autoimmune Diseases https://www.frontiersin.org/articles/10.3389/fimmu.2018.01333/full
MAIT,TRAV1,,TRAJ33,TRAC,Mouse,Chiba et al. Mucosal-Associated Invariant T cells in Autoimmune Diseases https://www.frontiersin.org/articles/10.3389/fimmu.2018.01333/full
MAIT,TRAV1-2,,TRAJ12,TRAC,Human,Chiba et al. Mucosal-Associated Invariant T cells in Autoimmune Diseases https://www.frontiersin.org/articles/10.3389/fimmu.2018.01333/full
MAIT,TRAV1-2,,TRAJ20,TRAC,Human,Chiba et al. Mucosal-Associated Invariant T cells in Autoimmune Diseases https://www.frontiersin.org/articles/10.3389/fimmu.2018.01333/full
